,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
229,Lagoa,100,PT,1574135992,81,37.14,-8.45,48.99,3.36
230,Moron,79,HT,1574135993,80,18.56,-74.26,78.21,3.85
231,Katsuura,75,JP,1574135994,47,33.93,134.5,60.01,16.11
232,Daru,49,PG,1574135996,67,-9.07,143.21,84.96,9.04
233,Krutinka,99,RU,1574135997,92,56.01,71.51,-14.64,11.23
234,Bima,0,ID,1574135998,24,-8.45,118.73,100.47,1.72
235,Libreville,75,GA,1574136000,88,0.39,9.45,80.6,6.93
236,Longyearbyen,75,NO,1574136003,69,78.22,15.63,33.8,13.87
237,Luocheng,0,CN,1574136004,38,28.29,114.55,58.17,1.9
238,Pyay,0,MM,1574136005,73,18.82,95.22,76.6,4.0
239,Nantucket,90,US,1574136007,93,41.28,-70.1,46.4,20.8
240,Adrar,0,DZ,1574136008,33,27.87,-0.29,46.4,6.93
241,Popondetta,100,PG,1574136009,89,-8.77,148.24,69.73,0.72
242,Ghanzi,51,BW,1574136011,57,-21.7,21.65,75.2,7.87
243,Dunedin,100,NZ,1574136012,89,-45.87,170.5,52.61,11.32
244,Bonthe,67,SL,1574136013,84,7.53,-12.5,78.82,3.83
245,Mount Isa,57,AU,1574136015,6,-20.73,139.49,104.0,8.05
246,Tautira,75,PF,1574136016,78,-17.73,-149.15,78.8,3.36
247,Sola,92,TZ,1574136018,87,-3.17,33.8,66.15,6.33
248,Taoudenni,99,ML,1574136019,14,22.68,-3.98,56.34,5.91
249,Aklavik,20,CA,1574136020,75,68.22,-135.01,-18.4,4.5
250,Cidreira,0,BR,1574136022,80,-30.17,-50.22,70.63,23.8
251,Sao Francisco de Paula,0,BR,1574136023,72,-29.45,-50.58,69.01,1.99
252,Havoysund,100,NO,1574136025,78,71.0,24.66,32.0,21.92
253,Pochutla,90,MX,1574136026,64,15.74,-96.47,78.01,8.05
254,Nexo,0,DK,1574136027,70,55.06,15.13,44.6,24.16
255,Penzance,100,GB,1574136030,81,50.12,-5.53,51.01,12.75
256,Vila Velha,75,BR,1574135732,74,-3.71,-38.6,86.0,8.05
257,Alexandria,0,RO,1574135842,98,43.97,25.33,53.01,3.51
258,Monterey,1,US,1574136034,71,36.6,-121.89,62.01,5.82
259,San Patricio,0,PY,1574136035,70,-26.98,-56.83,73.87,5.26
260,Hennebont,75,FR,1574136037,100,47.81,-3.27,46.99,6.93
261,Nakamura,40,JP,1574136038,44,35.17,136.87,59.0,17.22
262,Umm Lajj,0,SA,1574136040,46,25.02,37.27,69.76,8.37
263,Souillac,0,FR,1574136042,100,45.6,-0.6,35.01,2.24
264,Gunnedah,0,AU,1574136064,7,-30.98,150.25,93.99,12.75
265,Missoula,75,US,1574136066,81,46.87,-114.0,42.8,4.23
266,Hofn,100,IS,1574136067,71,64.25,-15.21,42.42,24.72
267,Rome,40,IT,1574135772,63,41.89,12.48,62.6,12.75
268,Kendari,20,ID,1574136071,41,-3.99,122.52,92.93,7.18
269,Krasnyy Chikoy,95,RU,1574136072,70,50.36,108.75,-1.8,1.9
270,Santa Cruz Cabralia,75,BR,1574136073,88,-16.28,-39.02,73.4,3.36
271,Goderich,100,CA,1574136075,95,43.74,-81.71,37.0,1.01
272,Praia,90,BR,1574136076,82,-20.25,-43.81,68.0,3.36
273,Adeje,5,NG,1574136078,96,5.68,5.76,75.11,1.92
274,Tecoanapa,75,MX,1574136079,74,16.99,-99.26,84.2,6.93
275,Xining,100,CN,1574136080,30,36.62,101.77,30.63,2.35
276,La Ronge,90,CA,1574136082,86,55.1,-105.3,26.6,16.11
277,Nybro,100,SE,1574136083,93,56.75,15.91,46.4,6.93
278,Margate,75,AU,1574136084,58,-43.03,147.26,62.01,19.46
279,Miri,0,NG,1574136086,33,10.31,9.75,73.65,4.32
280,Herat,75,AF,1574135823,60,34.35,62.22,39.2,2.86
281,Williamsport,90,US,1574136089,86,41.25,-77.0,37.4,3.31
282,Vanimo,100,PG,1574136091,72,-2.67,141.3,83.98,10.0
283,Selma,48,US,1574136092,93,32.41,-87.02,44.6,4.99
284,Djenne,14,ML,1574136093,17,13.91,-4.55,76.41,10.96
285,Bitlis,0,TR,1574135935,45,38.4,42.11,29.66,2.84
286,Vardo,90,US,1574136096,100,39.62,-77.74,39.99,2.48
287,Malinyi,74,TZ,1574136097,85,-8.94,36.14,74.48,1.5
288,Mecca,2,SA,1574135950,73,21.43,39.83,73.35,1.9
289,Biak,76,ID,1574136100,72,-0.91,122.88,82.62,5.95
290,Baykit,0,RU,1574136102,92,61.68,96.39,-22.45,3.51
291,Faanui,1,PF,1574136104,72,-16.48,-151.75,79.93,7.72
292,Luan,100,CH,1574136105,100,46.36,6.98,34.0,2.24
293,Klingenthal,62,DE,1574136107,75,50.36,12.47,42.01,14.99
294,Peniche,100,PT,1574136037,100,39.36,-9.38,48.99,4.7
295,Nome,1,US,1574136109,87,30.04,-94.42,53.01,0.38
296,Okhotsk,26,RU,1574136111,73,59.36,143.24,-2.16,12.35
297,Bagnols-sur-Ceze,43,FR,1574136004,65,44.16,4.62,44.6,24.16
298,Rio Gallegos,90,AR,1574136114,71,-51.62,-69.22,50.0,4.7
299,Picos,41,BR,1574136115,72,-7.08,-41.47,76.71,2.46
300,Saint George,20,GR,1574136116,100,39.45,22.34,51.8,0.63
301,San Francisco,100,CO,1574135963,93,1.17,-76.88,53.11,2.66
302,Caluquembe,85,AO,1574136120,55,-13.78,14.68,57.42,6.6
303,Mantua,75,IT,1574136000,76,45.16,10.79,53.01,5.82
304,Doka,59,SD,1574136123,33,13.52,35.76,76.32,5.77
305,Tarakan,40,ID,1574136126,74,3.3,117.63,87.8,5.82
306,Natal,40,BR,1574136017,74,-5.81,-35.21,78.8,14.99
307,Poum,18,MK,1574136129,82,41.28,20.71,41.63,4.16
308,Lima,75,PE,1574136124,82,-12.06,-77.04,66.2,12.75
309,Pekalongan,100,ID,1574136132,49,-6.89,109.67,91.81,2.17
310,Srikakulam,30,IN,1574136133,69,18.29,83.89,76.96,4.34
311,Fenelon Falls,90,CA,1574136134,98,44.54,-78.74,35.01,4.52
312,Zhangjiakou,0,CN,1574136136,19,40.77,114.88,20.89,9.89
313,Komsomolskiy,25,RU,1574136137,85,67.55,63.78,-9.99,3.22
314,Verona,75,IT,1574136062,76,45.44,10.99,52.0,5.82
315,Capim Grosso,64,BR,1574136140,79,-11.38,-40.01,70.74,7.9
316,Oranjemund,69,ZA,1574136141,83,-28.55,16.43,53.29,11.3
317,Martapura,98,ID,1574136142,65,-3.41,114.85,87.87,1.52
318,Sungaipenuh,70,ID,1574136144,64,-2.08,101.38,76.24,3.04
319,Saint Simons,1,US,1574136146,100,31.14,-81.39,53.6,2.89
320,Pisco,90,PE,1574136147,82,-13.71,-76.2,66.2,12.75
321,Fontem,98,CM,1574136036,76,5.49,9.85,61.81,3.69
322,Saint-Pierre,78,FR,1574136150,100,48.95,4.24,39.2,5.82
323,Turtas,100,RU,1574136153,95,58.94,69.13,-16.98,7.02
324,Kokopo,1,PG,1574136155,70,-4.34,152.27,83.32,3.89
325,Omsukchan,0,RU,1574136156,96,62.53,155.8,-18.22,2.55
326,Puerto del Rosario,40,ES,1574136154,82,28.5,-13.86,64.4,5.82
327,Monrovia,100,LR,1574136161,83,6.33,-10.8,79.63,2.3
328,El Reno,1,US,1574136140,58,35.53,-97.96,60.01,10.29
329,Isangel,75,VU,1574136164,65,-19.55,169.27,82.4,16.11
330,Gorele,0,TR,1574136165,54,41.03,39.0,55.4,8.05
331,Nyagan,90,RU,1574136168,94,62.14,65.43,-15.54,8.99
332,Cao Bang,100,VN,1574136169,66,22.67,106.25,60.39,2.73
333,Mahibadhoo,46,MV,1574136170,77,3.78,72.97,82.78,8.14
334,Srednekolymsk,44,RU,1574136172,97,67.46,153.71,-14.19,7.18
335,Flinders,0,AU,1574136173,7,-34.58,150.85,99.0,17.22
336,Nacala,100,MZ,1574136174,93,-14.56,40.69,75.2,0.72
337,Haines Junction,99,CA,1574136176,96,60.75,-137.51,22.75,7.36
338,Ust-Tsilma,0,RU,1574136177,89,65.44,52.15,-4.0,3.13
339,Novikovo,0,RU,1574136178,92,51.15,37.89,31.46,3.74
340,Abu Samrah,0,SY,1574136180,32,35.3,37.18,49.48,3.49
341,River Falls,90,US,1574136181,80,44.86,-92.63,37.0,3.36
342,Maniitsoq,98,GL,1574136182,88,65.42,-52.9,27.32,14.61
343,Male,5,UA,1574136184,94,50.74,33.7,32.88,0.98
344,Ruston,1,US,1574136185,87,32.52,-92.64,46.0,4.14
345,Zyryanovsk,100,KZ,1574136187,96,49.74,84.27,24.15,4.92
346,La Palma,18,CO,1574136188,96,5.36,-74.39,67.82,2.21
347,Linhares,100,BR,1574136049,95,-19.38,-40.06,73.02,1.21
348,Vinh,98,VN,1574136191,82,18.67,105.69,65.57,6.22
349,Riyadh,75,SA,1574135942,88,24.63,46.72,62.6,3.36
350,Avera,1,US,1574136193,71,33.19,-82.53,53.01,5.82
351,Fairbanks,75,US,1574136195,77,64.84,-147.72,1.99,0.36
352,Longyan,0,CN,1574136196,99,25.1,117.03,68.0,5.01
353,Santa Isabel do Rio Negro,100,BR,1574136197,82,-0.41,-65.02,76.5,2.71
354,Sabya,0,SA,1574136199,69,17.15,42.62,80.6,5.82
355,Erdenet,100,MN,1574136201,76,49.03,104.04,4.53,3.8
356,Teguldet,100,RU,1574136202,95,57.31,88.17,19.83,5.57
357,Puerto Escondido,90,MX,1574136204,64,15.86,-97.07,75.2,8.05
358,Terre-de-Bas,0,GP,1574136205,100,15.85,-61.64,73.4,3.36
359,Capreol,90,CA,1574136206,98,46.71,-80.92,33.01,8.05
360,Port Macquarie,90,AU,1574136208,25,-31.43,152.91,91.0,11.41
361,Ceres,100,BR,1574136210,93,-15.31,-49.6,69.64,5.28
362,Ottawa,90,CA,1574136059,68,45.42,-75.69,27.0,6.93
363,Tadine,100,NC,1574136213,60,-21.55,167.88,78.51,9.37
364,Bataipora,57,BR,1574136214,51,-22.3,-53.27,73.22,2.89
365,Vila Franca do Campo,40,PT,1574136215,77,37.72,-25.43,59.0,5.82
366,Laguna,40,BZ,1574136217,94,16.17,-88.94,71.6,2.48
367,Gueret,90,FR,1574136005,100,46.17,1.87,39.99,2.24
368,Ryotsu,75,JP,1574136220,62,38.08,138.43,55.4,16.11
369,Bara,0,NG,1574136222,34,10.41,10.6,73.87,3.31
370,Karratha,0,AU,1574136223,80,-20.74,116.85,79.74,14.12
371,Kulhudhuffushi,59,MV,1574136225,73,6.62,73.07,83.12,6.85
372,Tambong,25,ID,1574136226,80,-8.27,114.3,80.55,7.87
373,Tvedestrand,100,NO,1574136228,93,58.62,8.93,42.8,8.05
